Age,Gender_Женский,Gender_Мужской,Course_Бакалавриат 1 курс,Course_Бакалавриат 2 курс,Course_Бакалавриат 3 курс,Course_Бакалавриат 4 курс,Course_Магистатура,Speciality_Архитектура,Speciality_Бизнес,Speciality_Другое,Speciality_Инженерия,Speciality_Програмирование,Speciality_Психология,Speciality_Юриспруденция,Factor1,Factor2,Factor3,Factor4,Factor5,Total_Factor_Score,Strategy1,Strategy2,Strategy3,Strategy4,Strategy5,Best_strategy,Total_Strategy_Score,Total_Result
21,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.9066666666666666,0.68,0.7733333333333333,0.7866666666666666,0.5733333333333334,0.744,0.1636363636363636,0.20454545454545453,0.22545454545454544,0.23181818181818178,0.17454545454545453,4,0.7333333333333334,0.7386666666666667
21,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.6266666666666667,0.52,0.84,0.72,0.4533333333333333,0.632,0.22803283672848892,0.3238066281544542,0.16539981757373062,0.13681970203709334,0.14594101550623292,2,0.5481666666666667,0.5900833333333333
20,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.5466666666666666,0.6933333333333334,0.5066666666666667,0.7333333333333333,0.6933333333333334,0.6346666666666667,0.22658610271903323,0.1464094817569138,0.20450848245410178,0.18824076225888917,0.23425517081106204,5,0.7171666666666667,0.6759166666666667
21,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.44,0.7866666666666666,0.6266666666666667,0.6666666666666666,0.64,0.632,0.25244913338357194,0.18839487565938204,0.18085908063300676,0.17332328560663146,0.20497362471740768,1,0.6635000000000001,0.64775
21,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.9066666666666666,0.68,0.32,0.7466666666666667,0.41333333333333333,0.6133333333333333,0.2686350435624395,0.10890609874152953,0.20135527589545016,0.1887705711519845,0.23233301064859632,1,0.6886666666666666,0.651
21,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.6666666666666666,0.8133333333333334,0.76,0.6133333333333333,0.37333333333333335,0.6453333333333334,0.2928692699490662,0.23344651952461798,0.1765704584040747,0.16129032258064513,0.13582342954159593,1,0.5890000000000001,0.6171666666666668
20,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.7866666666666666,0.6266666666666667,0.7493333333333332,0.29959514170040485,0.19028340080971662,0.1813765182186235,0.18623481781376516,0.1425101214574899,1,0.6174999999999999,0.6834166666666666
20,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6133333333333333,0.8,0.48,0.8,0.5466666666666666,0.648,0.2588757396449704,0.1405325443786982,0.21301775147928992,0.22189349112426032,0.16568047337278105,1,0.676,0.662
19,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.64,0.7066666666666667,0.6266666666666667,0.64,0.6,0.6426666666666667,0.2284988892415106,0.18565534750872736,0.1878768644874643,0.1999365280863218,0.19803237067597587,1,0.5251666666666667,0.5839166666666666
20,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.72,0.7466666666666667,0.30666666666666664,0.64,0.5066666666666667,0.5840000000000001,0.2887302080099348,0.1164234709717479,0.21856566283762807,0.24216081962123565,0.13411983855945359,1,0.5368333333333333,0.5604166666666667
